text,topic,relevant_to_model fit linear likelihood value,similarity_to_model fit linear likelihood value,relevant_to_model plot data response residuals,similarity_to_model plot data response residuals,relevant_to_data effects model random analysis,similarity_to_data effects model random analysis,relevant_to_data model tree linear regression,similarity_to_data model tree linear regression,relevant_to_model data test deviance log,similarity_to_model data test deviance log
"(Dispersion parameter   for poisson family taken to be 
31.749) 
    Null deviance: 3510.73    on 29  degrees of freedom 
Residual deviance:  716.85    on 24  degrees of freedom 
AIC: 889.7 
Notice that the estimation of the dispersion and the regression parameters is independent, 
so choosing a dispersion other than one has no effect on the regression parameter 
estimates. Notice also that ther e is some similarity in whic h variables are picked out as 
significant and which not when compared with the linear regression model. 
When comparing Poisson models with overdispersion, an F-test rather than a χ2 test 
should be used. As in normal linear models, the variance, or dispersion parameter in this 
case, needs to be estimated. Th is requires the use of the F-test. So to test the significance 
of each of the predictors relative to the full model, use: 
> dropl(modp,test=""F"") 
Single term deletions 
Model: 
Species ~ Area + Elevation + Nearest + Scruz + Adjacent 
          Df Deviance  AIC F value   Pr(F) 
<none>            717  890  
Area       1     1204 1375   16.32 0.00048 
Elevation  1     2390 2560   56.00   1e-07 
Nearest    1      739  910    0.76 0.39336 
Scruz      1      814  984    3.24 0.08444 
Adjacent   1     1341 1512   20.91 0.00012 
Warning message: 
F test assumes quasipoisson family in: dropl.glm(modp, 
test=""F"") 
The z-statistics from the summary () are less reliable and so the F-test is preferred. In this 
example, there is little practical difference between the two. 
3.2 Rate Models  
The number of events observed may depend on a size variable that determines the 
number of opportunities for the events to occur. For example, if we record the number of 
burglaries reported in different cities, the ob served number will depend on the number of 
households in these cities. In other cases, the size variable may be time. For example, if we record the number of customers served by a sales worker, we must take account of the 
differing amounts of time worked. 
Sometimes, it is possible to analyze such data using a binomial response model. For 
the burglary example above, we might model the number of burglaries out of the number 
of households. However, if the proportional is small, the Poisson approximation to the 
binomial is effective. Furtherm ore, in some examples, the total number of potential cases 
may not be known exactly. The modeling of rare diseases illustrates this issue as we may 
know the number of cases but not have precise population data. Sometimes, the binomial Count regression     67",2,False,0.25114805,False,0.24705888,False,0.16018791,False,0.1504261,True,0.36611125
"model simply cannot be used. In the burglary  example, some households may be affected 
more than once. In the customer service exam ple, the size variable is not a count. An 
alternative approach is to model the ratio . However, there are often difficulties with 
normality and unequal variance when taking this approach, particularly if the counts are small. 
In Purott and Reeder (1976), some data is presented from an experiment conducted to 
determine the effect of gamma radiation on the numbers of chromosomal abnormalities (ca) observed. The number (cells ), in hundreds of cells expo sed in each run, differs. The 
dose amount (doseamt) and the rate (doserate) at which the dose is applied are the 
predictors of interest. We may format the data for observation like this: 
> data(dicentric) 
> round(xtabs(ca/cells ~ doseamt+doserate, 
dicentric),2) 
       doserate 
doseamt  0.1 0.25  0.5    1  1.5    2  2.5    3    4 
    1   0.05 0.05 0.07 0.07 0.06 0.07 0.07 0.07 0.07 
    2.5 0.16 0.28 0.29 0.32 0.38 0.41 0.41 0.37 0.44 
    5   0.48 0.82 0.90 0.88 1.23 1.32 1.34 1.24 1.43 
We can plot the data as seen in the first panel of Figure 3.3: 
> 
with(dicentric,interaction.plot(doseamt,doserate,ca/cel
ls)) 
We might try modeling the rate directly. We see that the effect of the dose rate may be multiplicative, so we log this variable in the following model:  
 
Figure 3.3 Chromosomal 
abnormalities rate response is shown 
on the left and a residuals νs. fitted 
plot of a linear model fit to these data 
is shown on the right.  Extending the linear model with R     68",0,False,0.19655398,False,0.16001804,True,0.40284032,False,0.17931086,False,0.22669819
"> lmod <- lm(ca/cells ~ log(doserate)*factor(doseamt), 
dicentric) 
> summary(lmod)$adj 
[1] 0.98444 
As can be seen from the adjusted R2, this model fits well. However, a look at the 
diagnostics reveals a problem, as seen in the second panel of Figure 3.3: 
> plot(residuals(lmod) ~ 
fitted(lmod),xlab=""Fitted"",ylab=""Residuals"") 
> abline(h=0) 
We might prefer an approach that directly models the count response. We need to use the log of the number of cells because we expect this to have a multiplicative effect on the 
response: 
> dicentric$dosef <- factor(dicentric$doseamt) 
> pmod <- glm(ca ~ log(cells)+log(doserate)*dosef, 
  family=poisson,dicentric) 
> summary(pmod) 
Coefficients: 
                       Estimate Std. Error z value 
Pr(>|z|) 
(Intercept)             -2.7653     0.3812   -
7.25    4e-13 
log(cells)               1.0025     0.0514   19.52   <2
e-16 
log(doserate)            0.0720     0.0355    2.03  0.0
4240 
dosef2.5                 1.6298     0.1027   15.87   <2
e-16 
dosef5                   2.7667     0.1229   22.52   <2
e-16 
log(doserate):dosef2.5   0.1611     0.0484    3.33  0.0
0087 
log(doserate):dosef5     0.1932     0.0430    4.49    7
e-06 
(Dispersion parameter for poisson family taken to be 1) 
    Null deviance: 916.127 on 26 degrees of freedom 
Residual deviance:  21.748 on 20 degrees of freedom 
AIC: 211.2 
We can relate this Poisson model with a log link back to a linear model for the ratio 
response: 
log(ca/cells)= Xβ   
This can be rearranged as 
log ca=log cells+ Xβ   Count regression     69",0,True,0.34052554,True,0.33747637,False,0.2831248,False,0.18320596,False,0.26106396
"We are using log cells as a predictor. Checki ng above, we can see that the coefficient of 
1.0025 is very close to one. This suggests fitting a model with the coefficient fixed as 
one. In this manner, we are modeling the ra te of chromosomal a bnormalities while still 
maintaining the count response for the Poisson model. This is known as a rate model . We 
fix the coefficient as one by using an offset . Such a term on the predictor side of the 
model equation has no parameter attached: 
> rmod <- glm(ca ~ offset 
(log(cells))+log(doserate)*dosef, 
  family=poisson,dicentric) 
> summary(rmod) 
Coefficients: 
                      Estimate Std.   Error  z 
value  Pr(>|z|) 
(Intercept)            -2.7467       0.0343   -
80.16   < 2e-16 
log(doserate)           0.0718       0.0352     2.04   
0.04130 
dosef2.5                1.6254       0.0495    32.86   
< 2e-16 
dosef5                  2.7611       0.0435    63.49   
< 2e-16 
log(doserate):dosef2.5  0.1612       0.0483     3.34   
0.00084 
log(doserate):dosef5    0.1935       0.0424     4.56 
0.0000051 
(Dispersion parameter for poisson family taken to be 1) 
Null deviance:     4753.00  on 26 degrees of freedom 
Residual deviance:   21.75  on 21 degrees of freedom 
AIC: 209.2 
Not surprisingly, the coefficients  are only slightly different from the previous model. We 
see from the residual deviance that the model fits well. Previous analyses have posited a 
quadratic effect in dose; indeed, the observed  coefficients speak against a purely linear 
effect. However, given that we have only three dose levels, we can hardly check whether quadratic is appropriate. Given the significant interaction effect, we can see that the effect 
of the dose rate is different depending on the overall dose. We can see that the 
combination of a high dose, delivered quickly,  has a greater combined effect than the 
main effect estimates would suggest. More on the analysis of this data may be found in 
Frome and DuFrain (1986). 
3.3 Negative Binomial  
Given a series of independent tria ls, each with probability of success p, let Z be the 
number of trials until the k
th success. Then: 
   Extending the linear model with R     70",4,True,0.34016,False,0.2654351,False,0.21065694,False,0.20386925,True,0.30096656
"[1] 1.1307e-10 
The fit is improved but not enough to conclude that the model fits. We could try adding 
more interactions but that would make inte rpretation increasingly difficult. A check for 
outliers reveals no problem. 
An alternative model for counts is the negative binomial. The functions for fitting 
come from the MASS package—see Venables a nd Ripley (2002) for more details. We 
can specify the link parameter k. Here we choose k=1 to demonstrate the method, 
although there is no substantive motivation from this application to use this value:  
> library(MASS) 
> modn <- glm(skips ~ . , negative.binomial(1),solder) 
> modn 
Coefficients: 
(Intercept)     OpeningM       OpeningS   SolderThin   
    MaskA3 
    -
1.6993       0.5085         1.9997       1.0489       0
.6571 
     MaskA6       MaskB3         MaskB6    PadTypeD6   
 PadTypeD7 
     2.5265       1.2726         2.0803      -
0.4612       0.0161 
  PadTypeL4    PadTypeL6      PadTypeL7    PadTypeL8   
 PadTypeL9 
     0.4688      -0.4711        -0.2949      -
0.0849      -0.5213 
  PadTypeW4    PadTypeW9          Panel 
    -0.1425      -1.4836         0.1693 
Degrees of  Freedom: 899 Total  (i.e. Null); 882 
Residual 
Null Deviance:      1740 
Residual Deviance: 559   AIC: 3880 
We could experiment with different values of k, but there is a more direct way of 
achieving this by allowing the parameter k to vary and be estimated using maximum 
likelihood in: 
> modn <- glm.nb(skips ~ .,solder) 
> summary (modn) 
Coefficients: 
            Estimate Std. Error z value Pr(>|z|) 
(Intercept)  -1.4225     0.1427   -9.97  < 2e-16 
OpeningM      0.5029     0.0798    6.31  2.9e-10 
Openings      1.9132     0.0715   26.75  < 2e-16 
SolderThin    0.9393     0.0536   17.52  < 2e-16 
MaskA3        0.5898     0.0965    6.11  9.9e-10 
MaskA6        2.2673     0.1018   22.27  < 2e-16 
MaskB3        1.2110     0.0964   12.57  < 2e-16 
MaskB6        1.9904     0.0922   21.58  < 2e-16 Extending the linear model with R     72",1,True,0.3715918,False,0.20927979,False,0.17503703,False,0.18269041,False,0.19142918
"chcond2 as possible predictor variables. Considering the deviance of this model, 
does this model fit the data? 
(b) Plot the residuals and the fitted values—why are there lines of observations on the 
plot? 
(c) Use backward elimination with a critical  p-value of 5% to reduce the model as 
much as possible. Report your model. 
(d) What sort of person would be predicted to visit the doctor the most under your 
selected model? 
(e) For the last person in the dataset, compute the predicted probability distribution for 
their visits to the doctor, i.e., give the probability they visit 0,1,2, etc. times.  
(f) Fit a comparable (Gaussian) linear m odel and graphically compare the fits. 
Describe how they differ. 
6. Components are attached to an electronic circuit card assembly by a wave-soldering 
process. The soldering process involves baking and preheating the circuit card and 
then passing it through a solder wave by conveyor. Defects aris e during the process. 
The design is 27−3 with three replicates. The data is presented in the dataset 
wavesolder. Assuming that the replicates are independent, analyze the data. Write a 
report on the analysis that summarizes the substantive conclusions and includes the 
highlights of your analysis. 
7. The dataset esdcomp was recorded on 44 doctors working in an emergency service at a 
hospital to study the factor s affecting the number of co mplaints received. Build a 
model for the number of complaints receive d and write a report on your conclusions. Extending the linear model with R     74",1,False,0.21984811,False,0.25941807,True,0.35031486,False,0.22043633,False,0.2417753
"qualitybad   -1.0576     0.1078   -9.81   <2e-16 
(Dispersion parameter for poisson family taken to be 1)  
    Null deviance: 474.10 on 3 degrees of freedom 
Residual deviance:  54.03 on 1 degrees of freedom 
The null model, which suggests all four outcomes occur at the same rate, does not fit 
because the deviance of 474.1 is very larg e for three degrees of freedom. The additive 
model, with a deviance of 54.03 is clearly an improvement over this. We might also want 
to test the significance of the individual predictors. We could use the z-values, but it is 
better to use the likelihood ratio test based on the differences in the deviance (not that it 
matters much for this particular dataset): 
> dropl(modl,test=""Chi"") 
Single term deletions 
Model: 
y ~ particle + quality 
         Df Deviance AIC LRT Pr(Chi) 
<none>            54  84 
particle  1      364 392 310  <2e-16 
quality   1      164 192 110  <2e-16 
We see that both predictors are significant relative to the full model. By examining the 
coefficients, we see that wafers with partic les occur at a significantly higher rate than 
wafers without particles. Similarly, we see th at bad-quality wafers occur at a significantly 
higher rate than good-quality wafers. 
The model coefficients are closely related to the marginal totals in the table. The 
maximum likelihood estimates satisfy: 
   
where the XTy is, in this example: 
> (t(model.matrix(modl)) %*%y)[,] 
(Intercept) particleyes qualitybad 
        450          50        116 
So we see that the fitted values, 
 are a function of marginal totals. This fact is exploited 
in an alternative fitting method known as iterative proportional fitting . The glm function 
in R, however, uses Fisher scoring, described in Section 6.2. In any case, the log-likelihood (ignoring any terms not involving µ) is: 
   
which is maximized to obtain the fit. 
The analysis so far has told us nothing about the relationship between the presence of 
particles and the quality of the wafer. The additive model posits: 
log µ=γ+αi+βj   Extending the linear model with R     78",4,True,0.3030511,False,0.21232644,False,0.25665322,False,0.14909938,True,0.44460267
"The fitted values are then 
 or: 
> (fv <- outer(qp,pp)*450) 
       particle 
quality     no    yes 
good    296.89 37.111  
bad 103.11 12.889  
To test the fit, we compare this model against the saturated model, for which 
 So 
the deviance is: 
   
which computes to: 
> 2*sum(ov*log(ov/fv)) 
[1] 54.03 
which is the same deviance we observed in the Poisson model. So we see that the test for 
independence in the multinomial model coincides with the test for no interaction in the Poisson model. The latter test is easier to execute in R, so we shall usually take that 
approach. 
This connection between the Poisson and multinomial is no surprise due to the 
following result. Let Y
1,…,Yk be independent Poisson random variables with means λ1,…, 
λk, then the joint distribution of Y1,…, Yk|ΣiYi=n is multinomial with probabilities 
pj=λj/Σiλi. 
One alternative to the deviance is the Pearson X2 statistic: 
   
which takes the value: 
> sum( (ov-fv)^2/fv) 
[1] 62.812 
Yates’ continuity correction subtracts 0.5 from 
 when this value is positive and 
adds 0.5 when it is negative. This gives superior results for small samples. This 
correction is implemented in: 
> prop.test(ov) 
        2-sample test for equality of proportions with 
        continuity correction 
data: ov 
X-squared = 60.124, df = 1, p-value = 8.907e-15 Extending the linear model with R     80",4,False,0.27043664,False,0.09386411,False,0.13200384,False,0.10017938,True,0.39041084
"The deviance-based test is preferred to the Pearson’s X2. 
Binomial  
It would also be natural to view the presence of the particle as affecting the quality of 
wafer. We would view the quality as the respon se and the particle status as a predictor. 
We might fix the number of wafers with no pa rticles at 400 and the number with particles 
as 50 and then observe the outcome. We could then use a binomial model for the 
response for both groups. Let’s see what happens: 
> (m <- matrix(y,nrow=2)) 
     [,1] [,2] 
[1,]  320   80 
[2,]   14   36 
> modb <- glm(m ~ 1, family=binomial)  
> deviance(modb) 
[1] 54.03  
We fit the null model which suggests that the probability of the response is the same in both the particle and no particle group. This hypothesis of homogeneity  corresponds 
exactly to the test of independence and the deviance is exactly the same. 
For larger contingency tables, where there are more than two rows (or columns), we 
can use a multinomial model for each row. This model is more accurately called a 
product  multinomial model to distinguish it from the unrestricted multinomial model 
introduced above. 
Hypergeometric  
The remaining case is where both marginal totals  are fixed. This situation is rather less 
common in practice, but does suggest a mo re accurate test for independence. This 
sampling scheme can arise when classifying obj ects into one of two types when the true 
proportions of each type are known in advance. For example, suppose you are given 10 
true or false statements and told that 5 are tr ue and 5 are false. You are asked to sort the 
statements into true and false. We can ge nerate a two-by-two table of the correct 
classification against the observed classification generated. Under the hypergeometric distribution and the assumption of independence, the probability of the observed table is: 
   
If we fix any number in the table, say y11, the remaining three numbers are completely 
determined because the row and column tota ls are known. There is a limited number of 
values which y11 can possibly take and we can compute the probability of all these 
outcomes. Specifically, we can compute the total probability of all outcomes more extreme than the one observ ed. This method is called Fisher’s exact test . We may 
execute it as follows: 
> fisher.test(ov) 
        Fisher's Exact Test for Count Data 
data:  ov Contingency tables     81",4,False,0.14610073,False,0.116393015,False,0.18196306,False,0.045089386,True,0.35566306
"> c(deviance(modi),df.residual(modi)) 
[1] 735 19 
Although the statistics for the two tests are so mewhat different, in either case, we see a 
very large value for the degrees of freedom. We conclude that this model does not fit the data. 
We can show that the coefficients of this model correspond to the marginal 
proportions. For example, co nsider the smoker factor: 
> (coefsmoke <- exp(c(0,coef(modi)[2]))) 
         smokerno 
1.0000     1.2577 
> coefsmoke/sum(coefsmoke) 
         smokerno 
0.44292   0.55708 
We see that these are just the marginal pr oportions for the smokers and nonsmokers in 
the data: 
> prop.table(xtabs(y ~ smoker, femsmoke)) 
smoker  
    yes      no 
0.44292 0.55708 
This just serves to emphasize the point that the main effects of the model just convey information that we already know and is not the main interest of the study. 
Joint Independence:  Let p
ij be the (marginal) probability that the observation falls 
into a (i, j, ·)  cell where any value of the third variable is acceptable. Now suppose that 
the first and second variable are dependent, but jointly independent of the third. Then: 
Pijk=PijPk   
We can represent this as: 
logEY ijk=log n+log pij+logpk   
Using the hierarchy principle, we would also include the ma in effects corresponding to 
the interaction term log  pij. So the log-linear model with just one interaction term 
corresponds to joint independence. The specific interaction term tells us which pair of 
variables is dependent. For example, we fit a model that says age is jointly independent 
smoking and life status: 
> modj <- glm(y ~ smoker*dead + age, femsmoke, 
family=poisson) 
> c(deviance(modj), df.residual(modj)) 
[1] 725.8  18.0 
Although this represents a small improvement over the mutual independence model, the deviance is still very high for the degrees of freedom and it is clear that this model does Contingency tables     93",4,False,0.20482457,False,0.27633476,True,0.30354136,False,0.17094703,True,0.3702297
"not fit the data. There are two other joint independence models that have the two other 
interaction terms. These models also fit badly. 
Conditional Independence:  Let pij|k be the probability that an observation falls in cell 
(i,j,.) given that we know the third variable takes the value k. Now suppose we assert that 
the first and second variables are independent given the value of the third variable, then: 
Pij|k=Pi|kPj|k   
which leads to: 
Pijk=PikPjk|Pk   
This results in the model: 
logEYijk=log n+log pik+ log  pjk–logpk   
Again, using the hierarchy principle, we  would also include the main effects 
corresponding to the interaction terms and we would have model with main effects and 
two interaction terms. The minus for the log pk term is irrelevant. The nature of the 
conditional independence can be determined by observing which of one of the three 
possible two-way interactions does not appear in the model. 
The most plausible conditional independence model for our data is: 
> modc <- glm(y ~ smoker*age + age*dead, femsmoke, 
family=poisson) 
> c(deviance(mode),df.residual(mode)) 
[1] 8.327 7.000 
We see that the deviance is only slightly la rger than the degrees of freedom indicating a 
fairly good fit. This indicates that smoking is independent of life status given age. 
However, bear in mind that we do have some zeroes and other small numbers in the table 
and so there is some doubt as to the accuracy of the χ2 approximation here. It is generally 
better to compare models rather than assess the goodness of fit. 
Uniform Association:  We might consider a model with all three-way interactions: 
log EYijk=log n+log pi+log pj+log pk+log pij+log pik+log Pjk   
The model has no three-way interaction and so it is not saturated. There is no simple 
interpretation in terms of independence. Consider our example: 
> modu <- glm(y ~ (smoker+age+dead)^2, femsmoke, 
family=poisson) 
Now we compute the fitted values and determ ine the odds ratios for each age group based 
on these fitted values: 
> ctf <- xtabs(fitted(modu) ~ smoker+dead+age, 
femsmoke) 
> apply(ctf, 3, function(x) 
(x[1,1]*x[2,2])/(x[1,2]*x[2,1]) ) Extending the linear model with R     94",4,False,0.2562273,False,0.20711315,True,0.3107112,False,0.23547846,False,0.2703144
"18-24  25-34  35-44  45-54  55-64  65-74    75+ 
1.5333 1.5333 1.5333 1.5333 1.5333 1.5333 1.5333 
We see that the odds ratio is the same for every age group. Thus the uniform association 
model asserts that for every level of one vari able, we have the same association for the 
other two variables. 
The information may also be extracted from the coefficients of the fit. Consider the 
log-odds ratio for smoking and life status for a given age group: 
log(EY11kEY22k)/(EY12kEY21k)   
This will be precisely the coefficient for the smoking and life-status term. We extract 
this: 
> exp(coef(modu)['smokernordeadno']) 
smokerno:deadno 
         1.5333 
We see that this is exactly the log-odds ratio we found above. The other interaction terms may be interpreted similarly. 
Model Selection:  Log-linear models are hierarchical, so it makes sense to start with 
the most complex model and see how far it can be reduced. We can use analysis of 
deviance to compare models. We start with the saturated model: 
> modsat <- glm(y ~ smoker*age*dead, femsmoke, 
family=poisson) 
> dropl(modsat,test=""Chi"") 
Single term deletions 
Model: 
y ~ smoker * age * dead 
                Df Deviance   AIC  LRT Pr(Chi) 
<none>              3.0e-10 190.2 
smoker:age:dead  6      2.4 180.6  2.4    0.88 
We see that the three-way interaction term may be dropped. Now we consider dropping the two-way terms:  
> dropl(modu,test=""Chi"") 
Single term deletions 
Model: 
y ~ (smoker + age + dead)^2 
            Df Deviance AIC LRT Pr (Chi) 
<none>                2 181 
smoker:age   6       93 259  90   <2e −16 
smoker:dead  1        8 185   6    0.015 
age:dead     6      632 798 630   <2e −16 
Two of the interaction terms are strongly significant, but the smoker: dead term is only 
just statistically significant. This term corresponds to the test for conditional Contingency tables     95",4,True,0.30105138,False,0.19090396,False,0.2662359,False,0.28107065,True,0.366349
"> pchisq(deviance(nomod),df.residual(nomod),lower=F) 
[1] 0.26961 
However, we can take advantage of the ordinal structure of both variables and define 
some scores. As there seems to be no strong  reason to the contrary, we assign evenly 
spaced scores: one to seven for both PID and educ: 
> partyed$oPID <- unclass(partyed$PID) 
> partyed$oeduc <- unclass(partyed$educ) 
Now fit the linear-by-linear association model and compare to the independence model: 
> ormod <- glm(Freq ~ PID + educ + I (oPID*oeduc), 
partyed, 
  family= poisson) 
> anova(nomod,ormod,test=""Chi"") 
Analysis of Deviance Table 
Model 1: Freq ~ PID + educ 
Model 2: Freq ~ PID + educ + I (oPID * oeduc) 
  Resid. Df Resid. Dev Df Deviance  P(>|Chi|) 
1        36       40.7 
2        35       30.6  1     10.2    0.0014 
We see that there is some evidence of an a ssociation. So we see that using the ordinal 
information gives us more power to detect an association. We can examine 
  
> summary(ormod)$coef[ ′I(oPID * oeduc)',] 
  Estimate Std. Error    z value   Pr(>|z|) 
0.0287446  0.0090617  3.1720850  0.0015135 
We see that 
 is 0.0287. The p-value here can also be  used to test the significance of the 
association although, as a Wald test, it is less reliable than the likelihood ratio test we 
used first. We see that 
 is positive, which, given the way that we have assigned the 
scores, mean that a higher level of educatio n is associated with a greater probability of 
tending to the Republican end of the spectrum. 
Just to check the robustness of the assignment of the scores, it is worth trying some 
different choices. For example, suppose we ch oose scores so that there is more of a 
distinction between Democrats and Indepe ndents as well as Independents and 
Republicans. Our assignment of scores for apid below achieves this. Another idea might be that people who complete high school or less are not different; that those who go to 
college, but do not get a BA degree are not different and that those who get a BA or 
higher are not different. My assignment of scores in aedu achieves this: 
> apid <- c(1,2,5,6,7,10,11) 
> aedu <- c(1,1,1,2,2,3,3) 
> ormoda <- glm(Freq ~ PID + educ + 
I(apid[oPID]*aedu[oeduc]), Contingency tables     99",4,False,0.22359839,False,0.20950177,False,0.27691728,False,0.15848917,True,0.3631445
"partyed, family= poisson) 
> anova(nomod,ormoda,test=""Chi"") 
Analysis of Deviance Table 
Model 1: Freq ~ PID + educ 
Model 2: Freq ~ PID + educ + I(apid[oPID] * 
aedu[oeduc]) 
  Resid. Df Resid. Dev Df Deviance P(>|Chi|) 
1        36       40.7 
2        35       30.9  1      9.8    0.0017 
The numerical outcome is slightly different, but the result is still significant. Some 
experimentation with other plausible choices indicates that we can be fairly confident 
about the association here. 
The association parameter may be interpreted in terms of log-odds. For example, 
consider the log-odds ratio for adjacent entries in both rows and columns: 
   
For evenly spaced scores, these log-odds ratios will all be equal. For our example, where 
the scores are spaced one ap art, the log-odds ratio is γ. To illustrate this point, consider 
the fitted values under the linear-by-linear association model: 
> round(xtabs(predict(ormod,type=""response"") ~ PID + 
educ, partyed),2) 
         educ 
PID       MS    HSdrop HS    Coll  CCdeg BAdeg MAdeg 
  strDem   3.58 13.36  59.22 41.34 18.34 42.46 21.71 
  weakDem  2.92 11.22  51.20 36.78 16.80 40.02 21.06 
  indDem   1.59  6.27  29.45 21.78 10.23 25.09 13.59 
  indind   0.49  2.00   9.65  7.34  3.55  8.96  5.00 
  indRep   1.12  4.71  23.41 18.33  9.13 23.70 13.60 
  weakRep  1.61  6.95  35.59 28.68 14.69 39.28 23.19 
  strRep   1.69  7.49  39.48 32.74 17.26 47.49 28.85 
Now compute log-odds ratio for, say, the lower two-by-two table: 
> log(39.28*28.85/(47.49*23.19)) 
[1] 0.028585 
We see this is, but for rounding, equal to 
  
It is always worth examining the residuals to  check if there is more structure than the 
model suggests. We use the raw response residuals (the unscaled difference between 
observed and expected) because we would lik e to see effects which are large in an 
absolute sense. 
> round(xtabs(residuals(ormod,type=""response"") ~ PID + 
educ, partyed),2) 
         educ Extending the linear model with R     100",4,False,0.21331334,False,0.17774075,False,0.24977481,False,0.12875974,True,0.3998407
"educColl:oPID    0.0044605   0.050603  0.088147 
0.929760 
educCCdeg:oPID  -0.0086994   0.060667 -0.143395 
0.885978 
educBAdeg:oPID   0.0345539   0.048782  0.708330 
0.478740 
The last coefficient, educMAdeg: oPID, is not identifiable and so this may be taken as 
zero. If there was really a monotone trend in the effect of educational level on party 
affiliation, we would expect these coefficients  to be monotone. However, we can see that 
they are not. However, if we compare th is to the linear-by-linear association model: 
> anova(ormod,cmod,test=""Chi"") 
Analysis of Deviance Table 
Model 1: Freq ~ PID + educ + I(oPID * oeduc) 
Model 2: Freq ~ PID + educ + educ:oPID 
  Resid. Df Resid. Dev Df Deviance P(>|Chi|) 
1        35      30.57 
2        30      22.76  5     7.81      0.17 
We see that the simpler linear -by-linear association is preferred to the more complex 
column-effects model. Nevertheless, if the lin ear-by-linear associatio n were a good fit, 
we would expect the observed column-effect coefficients to be ro ughly evenly spaced. 
Looking at these coefficients, we observe that for high school and abov e, the coefficients 
are not significantly different from zero while for the lowest two categ ories, there is some 
difference. This suggests an alternate assignment of scores for education:  
> aedu <- 0(1,1,2,2,2,2,2) 
> ormodb <- glm(Freq ~ PID + educ + I 
(oPID*aedu[oeduc]), 
  partyed, family= poisson) 
> deviance(ormodb) 
[1] 28.451 
> deviance(ormod) 
[1] 30.568 
We see that the deviance of this model is even lower than our original model. This gives 
credence to the view that whether a person finishes high school or not is the determining factor in party affiliation. However, since we used the data itself to assign the scores and 
come up with this hypothesis, we would be tempting fate to then use the data again to test 
this hypothesis. 
The use of scores can be helpful in reducin g the complexity of models for categorical 
data with ordinal variables. It is especially useful in higher dimensional tables where a 
reduction in the number of parameters is par ticularly welcome. The use of scores can also 
sharpen our ability to detect associations. 
Further Reading:  See books by Agresti (2002), Bishop, Fienberg, and Holland 
(1975), Haberman (1977), Le (1998), Leonard (2000), Powers and Xie (2000), Santner and Duffy (1989) and Simonoff (2003). Extending the linear model with R     102",4,False,0.17702219,False,0.14205393,False,0.2920011,False,0.18380995,True,0.31568718
"6. The dataset suicide contains one year of suicide data from the United Kingdom cross-
classified by sex, age and method. 
(a) Determine the most appropriate de pendence model between the variables. 
(b) Collapse the sex and age of the subject in to a single six-level factor containing all 
combinations of sex and age. Conduct a correspondence analysis and give an 
interpretation of the plot. 
(c) Repeat the correspondence  analysis separately for ma les and females. Does this 
analysis reveal anything new compared to  the combined analys is in the previous 
question? 
7. A student newspaper conducted a survey of student opinions about the Vietnam War in 
May 1967. Responses were classified by sex, year in the program and one of four 
opinions. The survey was voluntary. The data may be found in the dataset uncviet. 
(a) Conduct an analysis of the patterns of dependence in the data assuming that all 
variables are nominal. 
(b) Assign scores to the year and opinion and fit an appropriate model. Interpret the 
trends in opinion over the years. Check the sensitivity of your conclusions to the 
assignment of the scores. 
8. The dataset HairEyeColor contains the same data analyzed in this chapter as haireye. 
Repeat the analysis in the text for each sex and make a comparison of the conclusions. 
9. A sample of psychiatry patients were cross-classified by their diagnosis and whether a 
drug treatment was prescribed. The data may be found in drugpsy. Is the chance that 
drugs will be prescribed constant across diagnoses? 
10. The UCBadmissions dataset presents data on applicants to graduate school at 
Berkeley for the six largest departments in  1973 classified by admission and sex. 
(a) Show that this provides an example of Simpson’s paradox. 
(b) Determine the most appropriate de pendence model between the variables. 
(c) Fit a binomial regression with admissions status as the response and show the 
relationship to your model in the previous question. Extending the linear model with R     104",1,False,0.18495303,False,0.27345416,True,0.3255033,False,0.25129217,True,0.3069291
